k,inertia,silhouette,nmi,ari,ami,variant,vocabulary,n_components
9,1426.0613723157837,-0.009050337514769488,0.14329428608198871,0.037291222632483564,0.12724535332856646,default,27379,200
10,1424.6302974374223,-0.00921540618062218,0.14407318248803178,0.03718828613606073,0.12713214915785587,default,27379,200
11,1417.0873568339052,-0.007209269786426475,0.15644469477070785,0.03841941591533838,0.13794547670932036,default,27379,200
12,1409.6487240675938,-0.0008942860745929392,0.16627011176823886,0.04396852266046161,0.14678356447995977,default,27379,200
13,1404.0869452904694,-0.003128226381690938,0.16881166489703597,0.04129327987841482,0.14766370990541755,default,27379,200
14,1394.499723708727,-0.005180717632630796,0.16503357817998374,0.04790606859270013,0.1427852960012335,default,27379,200
15,1393.8086281926307,-0.008221538686028375,0.16448743347913794,0.04688032445949501,0.14174824817915865,default,27379,200
16,1387.5453621447891,-0.004735435523933553,0.1829719477143426,0.05218191605708296,0.15915666092872827,default,27379,200
17,1382.4302937974505,-0.002094897063672917,0.19578321947519686,0.05471738274426585,0.17048487528595832,default,27379,200
18,1381.6552988283986,-0.007967424006629701,0.19354355049844538,0.052530426535322285,0.16740982096291154,default,27379,200
19,1379.2333446456441,-0.0065628074696865305,0.20238375245333687,0.05078169858787961,0.1749110893417997,default,27379,200
20,1374.9344678912448,-0.005784940679311923,0.2091161809529651,0.05675567159257052,0.18050482770678747,default,27379,200
21,1383.4335227336628,-0.004314303765677518,0.20343141989795707,0.04463005314175353,0.17287880062820477,default,27379,200
22,1374.0183354363367,0.0007890716587345257,0.22193135397292713,0.05688788630975515,0.1909219175750632,default,27379,200
23,1374.9352565146078,-0.010116614824695213,0.2416940407808376,0.06042933624458503,0.20967036870602168,default,27379,200
24,1372.3947896873751,-0.0174956027414293,0.2396198309510358,0.05631891059165754,0.20590103149793257,default,27379,200
25,1361.6950960611402,0.003532815321415769,0.24167610349217636,0.058374789573218976,0.20737657312346447,default,27379,200
26,1367.4292517275985,-0.011044067512293029,0.2292865760944295,0.043033322230337984,0.19138354424365367,default,27379,200
27,1361.1849886769678,-0.009951906637973901,0.23272023417294913,0.03978686959425515,0.19358862685103076,default,27379,200
28,1354.804560374966,-0.007621917382224258,0.23306313001079104,0.03852229188738617,0.1923649175444882,default,27379,200
29,1350.2707601982956,-0.0060586869305332665,0.23682894309625235,0.038955497121288256,0.19484033977375206,default,27379,200
30,1347.193290339277,-0.004611727267389086,0.23256147632642604,0.03740142086577351,0.18889220570193715,default,27379,200
31,1345.8103945473144,-0.003998822614681384,0.2368605344332409,0.038819809017512655,0.19251043256190564,default,27379,200
32,1338.6936482886485,-0.009690666871972018,0.2355869092440911,0.04079088882390188,0.18970352257873518,default,27379,200
33,1331.251250188732,0.0013545593766310841,0.24007533896943611,0.04258107399005159,0.19370864436610866,default,27379,200
34,1325.3015646370063,0.0023814892678603546,0.25226147104128976,0.04384157229697877,0.20543256659911868,default,27379,200
35,1320.5074276331766,0.0017789389753651024,0.25932505123202204,0.04265541544921558,0.21140575742765033,default,27379,200
36,1321.9265886584456,0.0026154022533989053,0.25541086972688354,0.04255261167109473,0.20634445986904063,default,27379,200
37,1311.3464139124228,0.008460889377942456,0.28333422505164924,0.058149225726929835,0.23510215090179143,default,27379,200
38,1299.0072568893681,0.009145990944603529,0.2880730411405359,0.0634944146095184,0.23979302799916102,default,27379,200
39,1299.8474483422026,0.00819392107084868,0.28119059681960457,0.06127944650643774,0.2317630080526537,default,27379,200
40,1307.937901882143,0.0010575014306707532,0.28108936079756286,0.04889125034245051,0.22954210064612388,default,27379,200
2,1587.971471534283,-0.002458200332186171,0.0010456325286421733,-4.505476904725643e-06,-1.557888407021936e-05,default,27379,300
3,1545.5033598506834,0.0037169791618714815,0.05330325870899423,0.016058708801400406,0.04985877651928775,default,27379,300
4,1539.9914594703457,-0.026536468963624046,0.07351120373248987,0.017057348258258945,0.06734997490046928,default,27379,300
5,1530.2182142802437,-0.022116283136351535,0.06700941233225231,0.016959248261977866,0.05880250715991216,default,27379,300
6,1519.2622357967991,-0.018530180273018435,0.07190251891982964,0.018771658605473848,0.06184022231754149,default,27379,300
7,1516.9862378076452,-0.018009529488943726,0.07373018112677002,0.018930205333146526,0.06232268244962673,default,27379,300
8,1516.3850474029273,-0.0204158240242198,0.0939804399996542,0.020753406201866748,0.08149454483460555,default,27379,300
9,1516.9174070808115,-0.033284518097616664,0.08197133600866355,0.01929638380277731,0.06819718204483136,default,27379,300
10,1515.9117143111907,-0.03471599722992868,0.08575141639771115,0.01994709310256339,0.07134513593918362,default,27379,300
11,1509.792881836947,-0.03188485922675007,0.10103274132257424,0.01991677070172506,0.08462768170916804,default,27379,300
12,1507.712685358827,-0.032332739356777176,0.10769729683860581,0.02040477373212694,0.0896271408276809,default,27379,300
13,1505.8529740423098,-0.027522026073450098,0.09448512342779837,0.017602093598258813,0.07458177486152348,default,27379,300
14,1496.1392073888803,-0.025645927519225693,0.11452511982555723,0.024235473935726788,0.0937499138865382,default,27379,300
15,1495.282718488941,-0.027944447177230557,0.11475035471454116,0.024070058372695078,0.0933582537694103,default,27379,300
16,1494.356676095613,-0.028810308693771724,0.11184301751105861,0.022934643621592747,0.08975267699168936,default,27379,300
17,1498.92165498807,-0.029976854278224874,0.1109664382878319,0.018353258717343012,0.0862174546386187,default,27379,300
18,1496.9897381387107,-0.029833077756655745,0.11227547927591937,0.01812528400133191,0.0861034809134027,default,27379,300
19,1492.7131318779989,-0.028217500351877794,0.11802480531519347,0.018939622971399638,0.09029566293863092,default,27379,300
20,1487.6996175705103,-0.026930905548467374,0.1335159309802004,0.02009544611941609,0.1042676519640378,default,27379,300
21,1469.075663002812,-0.02823429001369654,0.15356814129806012,0.025175928444659885,0.12204037094842894,default,27379,300
22,1467.1776965433232,-0.019946603749466017,0.16689957127191984,0.02702119660716825,0.13365800292932997,default,27379,300
23,1466.92920861563,-0.025264012977729955,0.16904148947842237,0.026484341834385108,0.13502984379064487,default,27379,300
24,1457.8416341008062,-0.02981850085394933,0.1788854826382356,0.03042432809641194,0.14491187566835137,default,27379,300
25,1455.0455482370116,-0.029059435375175892,0.1789970755019232,0.030383377264092216,0.1432472935359779,default,27379,300
26,1450.2284692638916,-0.027510970076952395,0.1883574325712433,0.0314638639105284,0.1512229068385568,default,27379,300
27,1447.9999630900907,-0.02717856386047814,0.1908382692179961,0.03229109214426789,0.1526626354695627,default,27379,300
28,1446.658977532982,-0.026935987609569903,0.1918522913161542,0.03213330696767377,0.1526991706532212,default,27379,300
29,1444.1121230028111,-0.026555295958037167,0.19427601806705946,0.032530462772472214,0.15371793617544988,default,27379,300
30,1442.5466954266349,-0.026111132210636444,0.19398625563832347,0.03232240259543325,0.15253078516658108,default,27379,300
