k,inertia,silhouette,nmi,ari,ami,variant,vocabulary,n_components
31,80.1004082383067,0.2249615299042883,0.5360043827936369,0.21953863298384144,0.5280877324065163,default,24746,10
32,79.21849698496615,0.22450088747040653,0.5343537751419455,0.21752855047879535,0.5261573610634983,default,24746,10
33,77.99413069629357,0.22434058655413655,0.532293104842346,0.2163625716455908,0.5237936911212004,default,24746,10
34,77.20416151811278,0.22312104533804789,0.5264041061782921,0.20761776416643085,0.5175702397300495,default,24746,10
35,76.75664846893055,0.22492951422556634,0.5293671259010003,0.21055696261092605,0.5203070755519603,default,24746,10
36,75.7986299245354,0.21820244551716705,0.5180837153954757,0.19767287766094327,0.5086166202177451,default,24746,10
37,75.29499053218646,0.21400070743593536,0.5167162708743498,0.19536329847650732,0.5069716877002723,default,24746,10
38,74.1077084924893,0.21411599100780437,0.5147411977194183,0.19032110200277505,0.5047344577178825,default,24746,10
39,73.2126522423304,0.21427919499715747,0.5151321151707691,0.18902170129024934,0.5049105814935945,default,24746,10
40,71.48840677136546,0.21878571841269057,0.5138883805069684,0.18195649307388587,0.5034215321568285,default,24746,10
2,548.0216154470359,0.05399723379596069,0.3493694224026251,0.16989013104320347,0.3485335764151435,default,24746,20
3,492.77522881030103,0.10711063267508826,0.5850510541010681,0.4073429662825542,0.5841752313865487,default,24746,20
4,452.54101643307985,0.13261262369275162,0.7397608275756834,0.6962295922581491,0.7390468050352039,default,24746,20
5,429.74382388917496,0.14193400780871815,0.7261892975928124,0.6557794254503756,0.7252339317063891,default,24746,20
6,394.59672057211014,0.16880654828827368,0.6948720726547261,0.6628339482938242,0.6936237198987343,default,24746,20
7,372.88848034847035,0.16991409705006857,0.7382446273350999,0.6968209247934539,0.7370177065563968,default,24746,20
8,353.53865107375,0.15390273427097348,0.6892766756611369,0.589164059028318,0.6876396627310568,default,24746,20
9,326.951760615851,0.18489175704209854,0.6497274427954332,0.5170385746126135,0.6476800915046851,default,24746,20
10,316.1242286480468,0.18536418448155018,0.6311418067607127,0.4913351746925353,0.6287849839234696,default,24746,20
11,300.5864104687329,0.19815249064550747,0.6109156010322644,0.4499962956433903,0.6082017998410966,default,24746,20
12,288.81000195456954,0.20784701895074886,0.6033944522913006,0.4372859777160336,0.6003897840604845,default,24746,20
13,275.41425390921347,0.20854226953424806,0.5996570938345621,0.41951818411370406,0.5964019313862338,default,24746,20
14,266.28250884617495,0.2140280291083891,0.5922439243848936,0.3963574713180884,0.5887177683102245,default,24746,20
15,261.0950020733323,0.20578420109357348,0.5852176584523707,0.380811494020097,0.5813980538294135,default,24746,20
16,245.75029008254646,0.22303784227639725,0.5700048856805441,0.32793014099201445,0.5658451828902717,default,24746,20
17,237.8107364308255,0.21908490481654416,0.5631315368553691,0.32500658498750806,0.5587263065536024,default,24746,20
18,233.49882401706333,0.21567057445599055,0.5653741696154742,0.3169928078889136,0.5607799801462734,default,24746,20
19,229.0291314553681,0.21141320465725047,0.563945692881561,0.3024909923207112,0.5591155339972416,default,24746,20
20,220.8560398200573,0.21334865207533482,0.5491502138462174,0.28225624697552365,0.5439328804062652,default,24746,20
21,212.84978984582884,0.20985283719479036,0.5478939760082231,0.28773071339411577,0.5423608744687735,default,24746,20
22,209.77806834248312,0.20556493921420624,0.5465622941493775,0.2803364959870588,0.5407719712064769,default,24746,20
23,203.02516034624938,0.21504182506776606,0.5442733649958581,0.26404553440679673,0.5381665426833978,default,24746,20
24,201.34166051362445,0.21127127904041837,0.5433908513242158,0.2617010911804287,0.5370090554500171,default,24746,20
25,192.80124136335215,0.21425470444088024,0.5354688826530541,0.24798835502084346,0.5288193136693191,default,24746,20
26,191.60739649958856,0.21063219932722368,0.5393616983138751,0.2534171076657185,0.5325100186577585,default,24746,20
27,186.12162912069152,0.21610169100806761,0.5345213003755335,0.24525417210224026,0.5273632232376559,default,24746,20
28,183.26221102342134,0.21517285961863414,0.5319101256607277,0.23593402009438041,0.5244708604848246,default,24746,20
29,179.64576868979762,0.21929221404297997,0.5224825999190321,0.23040202321823322,0.5146033228364971,default,24746,20
30,175.25926223765612,0.2214685124683462,0.5288642955730278,0.23247975699289922,0.5208969979394069,default,24746,20
31,171.73615502819092,0.21450660433987823,0.5175955914850332,0.21652216114269296,0.5092425216605254,default,24746,20
32,172.39138840733878,0.21421110979382454,0.5200253403043504,0.22453974874384366,0.5114387265564181,default,24746,20
33,172.12502955567095,0.2099000526989511,0.5209301959971756,0.22524700899395464,0.5120703206708689,default,24746,20
34,168.55455483865157,0.19790684288777521,0.5252384803156238,0.2107880088817478,0.5162505142967299,default,24746,20
35,167.9946801032654,0.20553747124256988,0.5226964382497677,0.21529543094548104,0.5133804760128909,default,24746,20
36,165.9664128267743,0.20249026331254008,0.5126598994165541,0.20018778773736004,0.5029897069562465,default,24746,20
37,164.6714089327311,0.19078450373109399,0.520618655136078,0.19321845373301183,0.5109022729897902,default,24746,20
38,160.43610564201174,0.19486884961546486,0.5067490840244143,0.17835960716449556,0.4965445739049666,default,24746,20
39,160.25433423147487,0.19335288012428617,0.5046009587989556,0.17600182511640985,0.49408976728138765,default,24746,20
40,157.48607091746507,0.1931969213140771,0.507727784851894,0.17321132056160685,0.49707385373272456,default,24746,20
2,911.7580349753027,0.0437458080028476,0.45965951474309014,0.31799795494555677,0.4590186522910191,default,24746,100
3,886.6842409149219,0.02786489584521125,0.5708226826254339,0.440869423156299,0.5699309859782771,default,24746,100
4,861.6733437473725,0.04113628750343468,0.6462157100395708,0.512186419480946,0.6452186394562871,default,24746,100
5,843.9476389623051,0.03311391281283581,0.5215971484972224,0.4268165851860691,0.5199371388595541,default,24746,100
6,825.9282347303895,0.041217100065858665,0.658422683618859,0.5700228525284861,0.6570260747999168,default,24746,100
7,829.8748762312704,0.027245130667443357,0.4570065365117268,0.2908465906190793,0.45436912871405993,default,24746,100
8,795.7680732470031,0.05701150294042576,0.6321735894942764,0.4808585207807635,0.630207219112126,default,24746,100
9,784.209511826456,0.057064440586532955,0.6856985262386682,0.5661723884552563,0.6838360052635872,default,24746,100
10,779.0487842750904,0.05307060255552508,0.6038312222378037,0.4713864831277704,0.601250928290228,default,24746,100
11,766.3817787605681,0.05400383948712134,0.5959794263278562,0.4084583131375626,0.5931168215864017,default,24746,100
12,759.8374668294762,0.053337955023381727,0.616894266063184,0.4349088636341549,0.6139501730177562,default,24746,100
13,757.4249652920182,0.05789836636850004,0.6124304428836239,0.43020720639585186,0.6091509150280185,default,24746,100
14,747.3210611332115,0.06429333355342877,0.6077293667903927,0.4145375474421673,0.6042459783852488,default,24746,100
15,733.063324298403,0.06620912332147409,0.58627742308101,0.34565046824004714,0.5824099492808755,default,24746,100
16,726.0947807905239,0.06779190958350421,0.581370036353351,0.3428298035432736,0.5772205156794351,default,24746,100
17,722.2004002563799,0.06601459694622928,0.5486913248209044,0.3053692459120962,0.5439191500174718,default,24746,100
18,715.2018495057889,0.07026488535112996,0.5463449321967677,0.30320435378503796,0.5412285995706514,default,24746,100
19,703.6442567810813,0.07493915902381494,0.5592320063314756,0.29547187241467693,0.5540439264962018,default,24746,100
20,696.9098756703816,0.07605495804219654,0.5594073015238961,0.2881448665636256,0.5539972626099362,default,24746,100
21,691.5896588900048,0.0713947383788923,0.54278341261308,0.2946620872698143,0.5370778421763367,default,24746,100
22,687.464996970481,0.06896356365435803,0.5548060553853709,0.30172097781225543,0.5490253421564274,default,24746,100
23,681.8010589400445,0.07161848022288851,0.5502664564686375,0.2972983150986826,0.5441754480262402,default,24746,100
24,678.4675309573646,0.07081828020583283,0.5540355552298305,0.2996894415407148,0.5477601592036777,default,24746,100
25,672.9241888108961,0.07278729293598825,0.5400863793324424,0.291804098385489,0.5333858319364957,default,24746,100
26,666.7110817757954,0.0764136498917128,0.5397155511129452,0.290942308302021,0.5327308553655806,default,24746,100
27,656.5206841062119,0.08285262427711827,0.534884812735005,0.27042860221763615,0.5276059055003803,default,24746,100
28,647.4457004603463,0.09518762880542532,0.5443167644722882,0.27140764324196154,0.5369011946832477,default,24746,100
29,647.9375865508065,0.08569150452368814,0.5306717428737332,0.2531998613534282,0.5228601730720309,default,24746,100
30,641.8226756845983,0.09406562235465715,0.5269342858479811,0.24088951767457167,0.518813539033642,default,24746,100
31,631.7227923701885,0.09841068087101956,0.5278083114154122,0.23807072711323674,0.5194693393025267,default,24746,100
32,626.7455054038356,0.09898157997346235,0.5169399151999797,0.22301034577731027,0.5082055901882642,default,24746,100
33,618.13491290828,0.10183596681980088,0.5128369834005292,0.20350694454094592,0.5038533386173328,default,24746,100
34,619.6571891856805,0.09443368214844809,0.5045876460200179,0.19555833884337614,0.4952328917150348,default,24746,100
35,612.9423051637887,0.10297252069483154,0.5157396739228219,0.2046282618432434,0.5063373881128391,default,24746,100
36,605.9219641938639,0.10526739186388952,0.501159614461994,0.1811694343883693,0.49126597209044676,default,24746,100
37,601.4910050336546,0.10759133434159072,0.4967683371614128,0.1767058198838206,0.4864694480829317,default,24746,100
38,599.8222961864323,0.10775529750076213,0.5074365535603754,0.19327243709916408,0.49707352671013805,default,24746,100
39,593.7002560871804,0.11055304486730894,0.50573114242405,0.1833986056440347,0.49511677790849135,default,24746,100
40,589.4457088725927,0.10738412284193248,0.4955277672511594,0.17763507369370637,0.4845128950054067,default,24746,100
2,250.72219662662488,0.19846893188395712,0.266747786848024,0.11704821392007213,0.26578392760468916,min_df5,7382,5
3,174.799836503433,0.31400265741815503,0.5633392714562402,0.45268857154410286,0.5624419113226188,min_df5,7382,5
4,134.85033059799906,0.3554483270477681,0.6243703210491054,0.5805109599972602,0.6233335271255264,min_df5,7382,5
5,84.67661871547834,0.4414448568570621,0.7283981956232223,0.757058425928555,0.7274782691745171,min_df5,7382,5
6,70.39097012793367,0.3944256815760858,0.6856229591327705,0.6477397794268928,0.684356441596426,min_df5,7382,5
7,62.94107340762712,0.373363885524171,0.6743733676918391,0.6242452558229555,0.6728602158068377,min_df5,7382,5
8,55.93203418538224,0.35947841609442377,0.6658106825852658,0.5602578271677495,0.6640676892959865,min_df5,7382,5
9,51.23200930238852,0.34465947541115644,0.6354873103098453,0.5045076168760546,0.6333821371445555,min_df5,7382,5
10,47.79517180705152,0.3240961313859196,0.629745041802163,0.4682791525242596,0.6274010039980072,min_df5,7382,5
11,43.64028131941043,0.3156424913890984,0.6409848625468638,0.4675278834966115,0.6385167987686255,min_df5,7382,5
12,42.07360575109176,0.3065352311077971,0.6304099768832236,0.4542351869780883,0.6276644575948624,min_df5,7382,5
13,40.03585386176972,0.3025352100347387,0.6134383601680654,0.42397706150290876,0.6103570965774737,min_df5,7382,5
14,38.06697257225138,0.29227478126768897,0.6051058469836231,0.39885388616821976,0.6017622437810216,min_df5,7382,5
15,36.975453480649634,0.28385621908436653,0.5973553294510585,0.37978531672897103,0.593734938428944,min_df5,7382,5
16,34.993126292527066,0.27344794993691784,0.5862346725131754,0.3387769538565037,0.5823209767247163,min_df5,7382,5
17,33.77325493164328,0.2688597792335066,0.5784369664610126,0.3282292081593294,0.5742181405233311,min_df5,7382,5
18,32.33805872178867,0.2661183932912755,0.5727677339269726,0.30834844075672685,0.5682803817665553,min_df5,7382,5
19,31.66036175111019,0.26052966383749043,0.5701010095851397,0.29953753498216446,0.5653635942995066,min_df5,7382,5
20,31.079863022672065,0.25278653210012914,0.5666758973716993,0.29004042106002553,0.5616813700536895,min_df5,7382,5
21,29.585570006120996,0.2650955606639936,0.5635091203398441,0.28011912319847854,0.5582632871380302,min_df5,7382,5
22,28.620502020428063,0.26148924131135687,0.5588208734671484,0.27616378157053545,0.5532963279495096,min_df5,7382,5
23,27.849043132445644,0.2615664518184263,0.5521828734308253,0.26710383748203875,0.5463431340849668,min_df5,7382,5
24,27.178946633314414,0.25847084007690424,0.5548400846598337,0.2630949684247663,0.5488107101219614,min_df5,7382,5
25,26.7321510499633,0.2544003687237069,0.5528757379311005,0.2566511530211609,0.5465901003022045,min_df5,7382,5
26,25.807549746152816,0.25482308958089905,0.5506363273840141,0.24535057109928063,0.5441174899829806,min_df5,7382,5
27,25.494674158721722,0.2523449627905857,0.5479910427354597,0.24105434512442753,0.5411776400086462,min_df5,7382,5
28,24.969447818965786,0.2475405925769228,0.5402871189980459,0.2316900090547495,0.5331498715509108,min_df5,7382,5
29,24.493438543132108,0.24339121114590553,0.5350527589813392,0.22198727183554426,0.5276206135269622,min_df5,7382,5
30,24.085179689478615,0.24203154000215027,0.5327566326195006,0.21671547902287816,0.525056118332994,min_df5,7382,5
31,23.62633196753516,0.24207996908848428,0.5275509571754695,0.21007193377991165,0.5195398387592483,min_df5,7382,5
32,23.12989991148507,0.237168857835747,0.5271170473769464,0.20019762121542833,0.5188954022816048,min_df5,7382,5
33,22.84449865012154,0.2317902678197204,0.5293634383003838,0.19815383050429664,0.5209309991243393,min_df5,7382,5
34,22.42428563833468,0.23097882938030215,0.5203410977637049,0.18915792831261521,0.5115408342301554,min_df5,7382,5
35,21.918984765859086,0.2306563398126149,0.5167482664124774,0.17899600291358486,0.5076759305792752,min_df5,7382,5
36,21.391448918635984,0.23273269758841406,0.5185211655758579,0.17757647641292976,0.509255751143677,min_df5,7382,5
37,21.07315938401396,0.23041064267396924,0.516306313171686,0.17215432526241417,0.5067637804872136,min_df5,7382,5
38,20.896830201104393,0.23132929546470188,0.514482428428744,0.16972891187640643,0.5046448861744843,min_df5,7382,5
39,20.510594206374098,0.23114793502331965,0.5148887129778817,0.16862553058162513,0.5048212067297783,min_df5,7382,5
40,20.096237752566545,0.23210765750567766,0.5160448108009575,0.16722067819331232,0.5057573281312322,min_df5,7382,5
2,395.0146928225753,0.09977198584904504,0.30276559946661813,0.13551794241915402,0.3018534712034496,min_df5,7382,10
3,328.8738453392041,0.17263856226774169,0.5905987932003589,0.4809877695034135,0.5897599727636711,min_df5,7382,10
4,284.3993952622936,0.21809337749497792,0.6943573205557786,0.6049146646568984,0.6935024802562557,min_df5,7382,10
5,244.08246566847856,0.25811813513447723,0.786062485169777,0.8231812904436319,0.7853396759645187,min_df5,7382,10
6,225.77845822279667,0.24449954114497843,0.6732009405227333,0.6216774620009368,0.6718591979955912,min_df5,7382,10
7,195.1555628487041,0.2816115925738281,0.631769154554966,0.5583855328826157,0.630023074098318,min_df5,7382,10
8,193.3154274131353,0.23565692032323624,0.662323032681057,0.590748422934645,0.6605479229941166,min_df5,7382,10
9,164.2940619825131,0.2685145646061944,0.6300650237013635,0.5096779830737705,0.6279198497226799,min_df5,7382,10
10,159.02417792381803,0.25517923772153894,0.6282269426052721,0.49850036907810763,0.6258565900316592,min_df5,7382,10
11,142.8121245613432,0.2745682549885075,0.6206430308836848,0.4644922212560713,0.6180129875780307,min_df5,7382,10
12,137.49998675429362,0.26502918463102665,0.6041855209003208,0.4454508777768347,0.6012217381827005,min_df5,7382,10
13,124.81698231478627,0.27248403668909577,0.576331699335606,0.3751694279556248,0.5729425445999276,min_df5,7382,10
14,120.05598745978631,0.26860951281406126,0.5582493599670403,0.35100168244700736,0.5544825487507928,min_df5,7382,10
15,115.33147627232334,0.2566367421378517,0.5524908073226524,0.324136127578785,0.5484645153544342,min_df5,7382,10
16,112.97333637891481,0.2537686739011178,0.5566211590012738,0.33258267228158317,0.5523943178316,min_df5,7382,10
17,110.34179558590121,0.2488768259895791,0.5606152850228083,0.3209750207559588,0.5561994841500402,min_df5,7382,10
18,105.16413772155876,0.24272205232520105,0.548103466249674,0.2972105886473677,0.5433429877817817,min_df5,7382,10
19,102.40383602369734,0.25010552762098287,0.5518931538293582,0.3006219112051601,0.5469116590024731,min_df5,7382,10
20,99.12210633671961,0.24630743279286213,0.5551486902569788,0.2918291021141274,0.5500136084403893,min_df5,7382,10
21,98.42121869461319,0.23520216202412123,0.5435699576585888,0.2768758101493458,0.5380735252087344,min_df5,7382,10
22,94.81443593734015,0.2402016303034755,0.5389778006962306,0.2711673257244046,0.5331921800876172,min_df5,7382,10
23,93.82949653152366,0.2318482169781556,0.5383444024554177,0.2626536411941311,0.5323041275206855,min_df5,7382,10
24,92.31258461950748,0.23219144231984576,0.5319670386020601,0.25898141682337583,0.5255925006328502,min_df5,7382,10
25,91.27362634169597,0.2261356162887043,0.5291931277111928,0.2472689882223726,0.5225653782114543,min_df5,7382,10
26,89.23041422818541,0.21655011826202902,0.528769924848865,0.23274597995018792,0.521929435992409,min_df5,7382,10
27,87.58324205901052,0.21273984965571482,0.5222747023757336,0.2200963544893288,0.5151187078482354,min_df5,7382,10
28,85.73215538873652,0.20639784373719067,0.5182063005799494,0.2060444503590624,0.5107717213959163,min_df5,7382,10
29,83.99205091920426,0.20790801115239899,0.5135814206217758,0.19982734255408297,0.5058405052338115,min_df5,7382,10
30,81.98556124778585,0.21119388783002974,0.5219694711678025,0.20358087347459022,0.5140828994047197,min_df5,7382,10
31,80.8339909420314,0.21105361352871319,0.5260902409664708,0.20394848839788857,0.5180256792947803,min_df5,7382,10
32,79.53952062687932,0.20920463310903278,0.5264658713351764,0.19863788798129292,0.51819188982604,min_df5,7382,10
33,78.0583175101878,0.21093056495992396,0.5240829573904953,0.19415979442077827,0.5155409274689952,min_df5,7382,10
34,76.19065973001346,0.2140037512756806,0.524174770656588,0.18845721384880953,0.5154070487324566,min_df5,7382,10
35,75.32857274873284,0.21068815624887313,0.5196424235925532,0.18158288964719382,0.5105837220093612,min_df5,7382,10
36,74.81543430115242,0.20819759762122084,0.5185499298241286,0.17891778475279052,0.5092260495650472,min_df5,7382,10
37,74.04732439277359,0.2081772292792205,0.5175399377725104,0.1781034624595388,0.5079576245609579,min_df5,7382,10
38,72.72641722828644,0.2099961240479258,0.5118823414612212,0.1727260397042699,0.5019483739176648,min_df5,7382,10
39,71.75481154792959,0.20723653042793666,0.511472348901817,0.16771337772005449,0.5013125106755859,min_df5,7382,10
40,71.13751950804955,0.20922445225058905,0.5083241057022824,0.16518054177572938,0.4978401822835298,min_df5,7382,10
2,541.3460052597917,0.049792853228316745,0.34750511501760134,0.16837473341248035,0.3466664885717471,min_df5,7382,20
3,484.4810899051801,0.10277603794508769,0.6071445963363992,0.4943467256574223,0.6063404067840188,min_df5,7382,20
4,457.8972625580625,0.11642739749146923,0.5852819036972844,0.4899365813844689,0.5841004942608569,min_df5,7382,20
5,409.286578893714,0.16127343382494136,0.8139975389965447,0.8499327402175815,0.8133694320538977,min_df5,7382,20
6,385.808174174231,0.17560607167438214,0.7130983317630499,0.6938959252255706,0.7119378669722505,min_df5,7382,20
7,364.5993643881571,0.16927881732617409,0.694980474138668,0.6470163254418397,0.6935586917512547,min_df5,7382,20
8,342.00443056279175,0.1973405812325719,0.7214847121586464,0.6717210697344902,0.7200066224945221,min_df5,7382,20
9,326.97682137702355,0.197137823568444,0.7072144479403817,0.6141369987730264,0.7055021581486652,min_df5,7382,20
10,307.4592801713884,0.1912868681691114,0.667593369718063,0.49224575101321777,0.6654718433993896,min_df5,7382,20
11,291.9312262054108,0.204732949391235,0.6333343251308233,0.4161278940025203,0.6308018402028174,min_df5,7382,20
12,283.2831482474363,0.20229425639910367,0.6107205718181307,0.3881995394388033,0.6078404973579603,min_df5,7382,20
13,271.89928811717886,0.21003193388313082,0.5965946398832541,0.3713197740876553,0.5933718043575825,min_df5,7382,20
14,258.853348733771,0.21537979185470021,0.5941465192211006,0.3599183462462333,0.5906902341371073,min_df5,7382,20
15,251.11941352321477,0.21553632357816846,0.5798747022794134,0.3579616064411439,0.5760899192731055,min_df5,7382,20
16,246.7036747485384,0.2048375316102243,0.5676476968385678,0.3213589547574649,0.5635366366130923,min_df5,7382,20
17,237.219679154947,0.21261626650075705,0.5691629558390326,0.3191593291747308,0.5647824546340182,min_df5,7382,20
18,232.35828623703554,0.21272348283622355,0.561192398745342,0.31271134477096707,0.5564774799132838,min_df5,7382,20
19,228.33769696045792,0.2097504363147241,0.5562324428566909,0.3010646692247256,0.5512290894786727,min_df5,7382,20
20,218.1804171000722,0.22034114547721245,0.5500382697615545,0.2870099547006641,0.544717685101437,min_df5,7382,20
21,205.38524192271373,0.22957492924275638,0.5640856624923309,0.2908611975104668,0.5587894976947919,min_df5,7382,20
22,200.73146403540528,0.225500707192115,0.5524323053161088,0.26531495742564876,0.5467927008829622,min_df5,7382,20
23,196.72447491525642,0.22426211961872078,0.547348125951115,0.2559972617525889,0.541401000999316,min_df5,7382,20
24,194.53199011993567,0.21980804671256846,0.5434864102151229,0.2450807111662105,0.5372834219762589,min_df5,7382,20
25,192.54218845033986,0.21025084672577088,0.5407669174742774,0.23756086105682192,0.5343108778601727,min_df5,7382,20
