k,inertia,silhouette,nmi,ari,ami
2,1488.568670280796,0.028804016395401085,0.0872729838280756,0.02762076188308548,0.08475148329184805
3,1467.1354313724012,0.02792698952936891,0.1406472926998553,0.0436029846214954,0.13633911556844427
4,1452.0996619531365,0.020933894410040697,0.15612267013128317,0.053617199583906566,0.15015411654112865
5,1440.051623146778,0.026774807987850497,0.1942773353609507,0.06780534881722776,0.1869406172336102
6,1421.4467723862217,0.023264976683712003,0.19075724725344725,0.07460638879718061,0.18190088364411922
7,1413.496019070013,0.026060436091437787,0.21889915003203192,0.09004925985658276,0.20873683434017026
8,1426.9693922059162,0.0024581541823777155,0.22731646305224057,0.08005446414925226,0.21738579185376666
9,1414.244484794198,0.0025229170824676984,0.27470136424009406,0.09645742311598585,0.2639267627513425
10,1405.4688560826798,0.002938520264970532,0.20980584601410107,0.07434190950633872,0.19676134832618875
11,1394.148765904974,0.005364154047755469,0.2852295880051222,0.11244437333291495,0.27218017832566527
12,1383.3831578617805,0.009047428061326992,0.28779219465347927,0.10907766530715754,0.2735309494854537
13,1369.7227489343309,0.012588751712677437,0.28469548274394235,0.10956027499714133,0.26917333346241656
14,1360.7853201252763,0.012236217957859194,0.29102417564368144,0.11647574993588665,0.27438952821139917
15,1362.7449304701463,0.00855951010477191,0.28669209881368657,0.11017055215677227,0.26853370036957264
16,1349.0785384400895,0.011722856209079747,0.2708180463792748,0.1122215025484971,0.2511645751422998
17,1338.4821659903312,0.014650261969896616,0.28808504481207914,0.1217325435985283,0.26762636177224003
18,1326.9011170481376,0.018070021361748567,0.3199033514881998,0.14228379513069517,0.29904851271643657
19,1324.4741587375256,0.01904975036592077,0.3200976898345449,0.14091066711093284,0.29820954938127253
20,1316.8259269145694,0.021930461762811944,0.34479252978524766,0.16153309029950733,0.3225467396291024
21,1299.991346034792,0.02915759987887485,0.35293589795657354,0.14632915236183702,0.32897706292547146
22,1293.0993546899747,0.030226623596379846,0.3474444499586508,0.14473202021823234,0.3222163556145834
23,1290.9451583512207,0.028387749589738075,0.35384881143687164,0.14056650300975587,0.3274122084680811
24,1286.917682968371,0.029643670758973215,0.36589116253906373,0.1485851860096926,0.3386621486181216
25,1282.9458051746387,0.030813904256279542,0.3669253157581806,0.1478110834070286,0.33886520625347827
26,1278.985533861107,0.030734036096783716,0.36486176640736057,0.15050982644129365,0.3355685297324962
27,1274.0432459330425,0.03180491088578328,0.3593607189119856,0.14679339480681033,0.32905330747868294
28,1270.166338908296,0.030831673927864414,0.36191364664830944,0.14793176956098078,0.3306515527902721
29,1267.69009288417,0.030718724967914147,0.3564251651333702,0.13841976971844475,0.3236545477902591
30,1265.2259994721462,0.032270577094571,0.3536310164594418,0.12896043261694484,0.3194925760024255
31,1262.2615959348188,0.032293700936097805,0.35426300412900974,0.13078091028251795,0.31906065987123966
32,1257.2930729079956,0.03169897679197031,0.348967331395288,0.1296263863516447,0.3123031483121678
33,1254.772054068807,0.032072265699222675,0.3517504163365533,0.1321467498698651,0.3145044638944086
34,1252.0603070698717,0.03153959549370434,0.35207722583224327,0.12906408005634076,0.31369238129596755
35,1243.4882329375582,0.028703596131289533,0.35458189672471124,0.12751595406223346,0.3151912339712168
36,1241.422584499646,0.028448361599071884,0.35256727835573654,0.1300051214077981,0.31211366940155494
37,1237.9700035944238,0.02966471781616551,0.3531766011000364,0.12678490901350756,0.31158514887565153
38,1233.0358483820723,0.028214994291673012,0.35439881901529197,0.12886275822466117,0.3117326639255114
39,1230.7777677382887,0.028593827880673918,0.34974184017676185,0.12375460593246528,0.3054210760020234
40,1224.9055264448305,0.02936140762469594,0.3495221928282555,0.12461020026647059,0.3042049949873611
